server_id,cpu_usage,memory_usage,disk_usage,network_usage,temperature,running_processes,disk_read_speed,disk_write_speed,swap_usage,network_latency,packet_loss,uptime_hours,error_logs,warning_logs,critical_logs,power_consumption,gpu_usage,fan_speed,failure
e88ca29c-689a-47fe-8ca3-aba0576a8a93,53.36,21.67,19.63,293.51,44.91,194,402.65,132.73,55.39,74.37,2.16,8828,5,7,9,393.87,34.16,4433,0
4e2482e1-803c-4b9a-82b9-aba7c8f26c8e,29.32,60.41,94.16,674.85,93.25,453,220.54,311.4,37.46,182.33,5.58,4726,28,87,9,341.15,7.96,4534,1
d817d7e8-6038-4ed9-8579-853968a67f88,72.32,38.83,77.55,622.46,59.23,579,433.71,473.54,12.7,75.39,1.91,6825,7,73,0,378.34,76.86,1222,0
f2ff23bb-85ca-47d0-96fd-c751e6cdf112,14.27,45.54,83.39,317.53,37.87,262,99.61,253.01,82.36,72.71,2.23,10057,17,48,1,648.34,20.22,2225,0
db487564-e6dc-4a42-ba25-54700cadaf87,49.42,51.99,39.44,212.87,47.53,244,551.81,375.61,82.56,108.97,5.09,7295,7,27,5,146.76,59.91,3171,0
8c1f636b-63d9-45b5-a5f0-9f3f352ab183,27.32,98.11,84.72,764.76,78.3,79,537.58,411.18,12.61,135.0,4.66,6553,23,61,6,405.09,60.45,1273,1
bf1c9575-3c0d-4db5-8054-340f79edaa5f,26.83,16.82,38.68,277.14,63.28,308,137.12,309.65,88.55,219.59,0.0,7721,28,77,2,675.5,87.77,2709,0
9aecd5fc-2672-483b-8420-902687b619c1,99.13,93.68,55.51,701.6,54.01,94,357.82,329.04,66.89,88.77,9.27,4722,5,11,0,244.79,95.48,4964,0
64813c05-4ae7-4615-9f33-b48dda87b566,87.72,92.53,18.62,215.31,75.74,296,504.66,325.33,47.23,78.09,2.57,11613,25,36,9,465.89,59.7,1459,1
a549d47b-4e71-45f2-9b58-b1dd74be53fd,66.24,98.3,54.27,516.22,27.22,149,386.1,490.67,4.87,120.76,3.34,7375,25,53,2,167.1,74.84,1784,0
ca6993e2-c91d-49e4-aa61-cb6fae4c64be,60.55,93.76,88.07,131.34,66.45,141,481.91,167.41,60.8,132.51,5.96,8876,3,70,3,118.38,27.72,4512,0
a3942ae3-f9ce-48c8-9f8c-c94f8f6fe236,35.09,59.03,16.28,843.87,88.49,114,495.01,275.98,7.62,156.79,9.29,7854,29,21,2,553.24,77.73,3283,0
4661d818-6621-48b0-a278-d5793afb40f6,75.68,77.61,59.63,907.24,77.26,93,113.2,54.23,58.09,99.94,6.42,9768,33,100,0,167.39,37.93,2371,0
02f7e0c4-6a6c-4c4a-b3ea-e297374420af,92.98,55.73,44.67,277.54,70.99,78,329.59,134.71,68.94,113.21,7.75,5052,29,42,7,591.51,57.98,4098,1
a15c7b5c-ad76-4578-8c89-d2c21560f11d,69.99,89.72,22.1,454.73,41.37,521,558.67,142.84,42.86,69.23,3.84,7677,32,4,10,554.66,63.41,3664,0
3a92bdf1-c596-4079-ad4f-8a2116b13c78,66.38,12.32,72.12,869.5,61.22,229,44.9,41.27,54.32,129.74,8.21,5602,3,71,10,407.62,15.73,2704,0
8966d299-4ad4-4244-ac8c-adf10d5f40ce,16.46,56.78,71.56,276.8,57.43,349,224.68,166.92,35.4,99.44,3.61,3852,9,13,2,152.03,81.43,1703,0
50d882bc-13c2-4e00-a89f-467e9ff81dca,73.88,89.43,76.41,990.17,54.5,366,151.35,331.54,81.2,79.0,8.78,107,35,25,7,674.13,12.95,2555,1
08a0d340-fa60-40a8-adbf-aff83b8cba9a,39.29,45.88,84.53,230.79,76.97,478,382.73,454.56,65.51,178.91,1.93,569,36,65,8,676.24,23.45,1330,0
77ef8c0a-c0fb-44c8-972a-688c674e29e4,55.45,57.9,49.35,490.61,46.83,277,478.13,328.0,19.97,86.66,8.37,9210,24,81,9,173.46,95.49,1756,0
a5efa694-f4af-416c-994a-084b6776b562,19.88,37.34,74.16,620.99,38.5,110,385.67,139.0,4.64,172.91,1.3,2652,11,49,5,357.69,12.83,1246,0
a586a5bc-6e7e-45ff-a2d5-25a34533dd69,43.51,97.27,46.84,935.24,79.58,399,534.81,345.88,52.18,19.06,6.03,10934,18,28,7,511.86,68.89,2795,1
0edbd364-3544-402d-b0ba-c1ab81fa5860,11.72,78.39,58.03,230.79,60.21,570,504.19,285.41,45.24,92.86,3.94,9081,37,14,0,489.46,68.3,4938,0
c31349df-6d38-4910-8645-1ce191a85438,89.39,71.61,50.16,302.84,30.9,103,508.2,36.76,58.1,189.72,8.5,175,8,39,4,454.18,27.88,4444,0
5a026736-8a0e-4ed3-97ae-22f673cc9307,97.19,70.79,82.87,857.94,94.54,517,540.57,41.15,76.65,8.86,6.24,5478,3,32,4,375.26,67.42,1101,0
8ef47469-222b-4f99-8258-a0a05321db84,19.84,70.68,11.76,69.74,33.55,99,101.96,494.17,53.35,9.64,4.33,9241,17,76,4,479.86,61.89,1207,0
092cd1c0-8ab2-4a5a-b58d-ca0b706ed328,24.93,72.73,23.86,226.59,38.29,131,328.55,238.65,40.78,111.48,6.35,8274,18,0,9,218.4,75.95,2215,0
9efe3c67-0f47-49f4-8a39-45b40b69871a,48.01,58.91,74.62,436.21,81.79,216,421.95,163.25,42.41,236.44,8.95,2357,8,54,8,262.94,76.16,4773,1
989b6bf8-69c9-411c-8904-154316d51462,10.86,33.0,80.21,797.53,37.07,244,354.54,148.69,92.61,137.0,1.84,2170,14,46,10,491.93,44.15,1720,0
04acb26e-1481-4c88-8349-4a0dfb70c465,86.28,68.18,47.35,891.12,70.11,89,452.61,430.94,1.39,103.01,8.06,9415,5,70,4,252.51,85.57,3682,0
bda705ec-f4dc-4bfc-8895-ec5a1085ab25,23.15,44.7,25.19,834.73,25.92,240,201.99,231.51,80.0,203.01,3.15,856,34,54,3,563.72,95.59,3958,0
a0d1e667-f974-4716-86b4-61df29ab99f8,55.89,76.13,65.88,189.46,29.19,366,71.73,212.42,18.94,75.13,8.94,9500,24,100,10,541.3,6.06,4486,0
b0ef6615-e2dc-4eae-b6be-53be28d05677,18.66,58.97,30.79,126.33,36.67,600,68.64,368.94,3.38,236.95,4.38,5020,3,3,3,166.36,43.99,4913,0
77c26111-2a03-4f43-be79-6688525a9b53,76.6,80.97,98.65,579.85,29.69,314,294.73,159.32,9.02,228.48,0.72,974,4,38,4,227.05,55.9,3395,0
10d3ddbf-a46d-4a8f-b2af-af8783b20cff,62.65,50.85,25.26,550.05,52.41,196,68.24,288.99,68.74,23.61,8.36,9896,3,100,8,333.37,77.75,1463,0
db1dbeda-ac84-47e2-928b-02dbccf6e3c2,11.67,99.68,92.44,274.28,80.29,313,56.69,453.33,46.13,109.79,4.25,8901,27,83,1,454.33,12.51,3581,1
5812b553-0a89-44ee-8dea-c870db683cca,50.44,18.83,58.67,636.74,82.14,237,245.32,288.0,22.03,42.71,1.91,6833,22,35,9,211.39,1.15,1212,1
239631ea-137b-46f2-9df0-2c249770bced,70.73,93.05,47.03,641.57,31.02,392,93.81,420.19,11.85,201.91,1.86,2336,5,19,8,592.42,40.49,1943,1
38f4bcfc-f464-4f24-85b2-9847f5e0c396,73.51,22.97,18.54,999.39,80.89,104,485.29,388.57,72.36,179.23,5.05,6658,35,44,1,286.04,66.54,2847,0
94461f9c-ba4a-45ae-9e77-20cf9f296bec,80.0,19.03,21.12,337.52,33.61,347,494.94,103.1,15.17,198.97,9.63,6327,0,55,4,609.78,74.26,4761,0
73e34ad5-60f7-4c75-99b4-efbc5ad928f2,53.52,58.76,84.72,767.23,75.49,170,60.12,233.46,86.27,238.05,1.03,6451,26,61,6,697.13,8.9,2340,1
ece1d11e-808c-48ec-b8b3-90bb25edbc45,48.76,96.97,11.5,837.36,44.26,276,512.75,18.25,84.48,101.16,1.68,6439,27,79,5,439.45,81.78,4638,0
691dfa79-7ab7-4ac4-97e5-230a878356ec,49.7,53.46,24.21,73.16,44.73,233,209.61,430.0,53.42,26.73,6.24,1774,26,6,8,450.98,51.66,1961,0
5b00efa7-a435-4717-b493-6ed1d4f4aa7a,47.19,48.1,40.78,708.71,73.41,82,32.16,141.81,57.66,88.7,3.51,11602,21,66,0,396.08,21.15,2253,0
6d3afd05-8a68-4352-a453-c5d63c44c62b,38.37,96.1,57.38,679.1,36.49,514,403.59,433.87,0.04,109.15,1.88,4193,26,93,10,252.27,45.26,1467,1
aaa65312-c0a9-48f6-b2fc-6bd20b58e20f,43.39,41.53,71.32,857.12,92.69,428,420.91,308.08,49.54,224.72,5.09,4259,1,44,8,622.01,23.01,4326,1
5a749bb6-c99d-42ae-9384-2b24d015a1ea,30.6,96.02,12.44,103.77,79.32,68,590.36,316.18,41.03,9.89,3.67,3768,11,84,4,172.87,1.64,1500,0
0b160ba2-fd34-40ee-b8dc-e7b3a0173447,40.7,84.15,79.17,124.72,49.34,468,371.93,176.67,79.32,93.64,9.11,4150,37,4,1,536.63,20.92,1595,0
a6f6d070-3bdb-4799-b219-248299c7bf88,51.51,61.29,37.72,154.44,26.79,310,498.12,388.51,31.88,228.63,9.11,11965,7,2,10,205.33,44.53,3926,0
45d382cf-7c3c-4aa5-910f-f152b3f24b59,94.28,51.54,51.79,537.21,43.88,264,592.33,154.68,99.9,88.8,5.6,5299,14,53,3,135.2,6.24,2015,0
14f040a8-bf7c-428b-b527-cc22698a2396,62.48,47.47,84.14,501.39,66.35,317,453.25,290.72,30.12,13.36,5.74,9877,1,3,9,280.01,60.69,3457,0
c2a26b83-518b-45a0-a66d-6118e765179b,94.51,88.79,31.16,50.78,58.64,262,168.48,263.83,67.46,226.03,8.56,1345,37,60,5,501.81,57.94,1652,0
ec58f453-97c7-4927-9b06-5be2aa4458f7,58.07,70.94,94.11,268.87,46.42,544,444.8,55.51,18.89,56.55,9.83,881,22,62,8,219.43,2.52,1749,1
9dd6d633-6455-454f-9db2-38aad5ef65ba,43.05,27.8,95.55,594.36,80.47,584,43.2,123.1,61.12,52.61,9.94,493,31,63,1,188.9,21.3,2694,1
36c4746c-ba9c-4ac8-8cda-a03090b1315c,38.08,99.87,43.24,846.16,25.04,126,316.3,399.74,67.12,63.63,3.91,323,36,90,6,249.79,17.47,4986,1
c2d8c498-9813-4aca-a9df-72b24ea045dd,7.61,18.52,48.5,259.63,49.0,553,327.39,72.77,40.27,220.71,6.44,7237,34,58,0,362.26,85.05,2285,0
2486a1c6-cbf6-4a5f-8a81-cc2b055a6503,35.43,57.02,30.99,452.58,47.49,405,396.2,366.67,93.96,203.94,2.9,10160,36,49,9,669.86,94.97,3890,1
5d14f585-46e4-4d49-84c8-bfffd0685d9c,73.6,49.05,91.58,259.41,47.59,337,265.62,271.79,44.63,233.05,9.61,6356,24,81,5,198.75,64.08,1158,0
8c5b743e-83ac-4ebb-8fc2-e27d02976b34,72.84,70.2,97.13,727.9,74.65,113,585.76,347.39,56.34,198.37,2.06,8624,36,70,10,353.38,22.58,3048,1
ae1c4213-9642-45d1-b183-aadc07e61e48,40.8,34.16,83.38,394.9,51.7,47,303.29,365.99,23.07,181.0,9.27,8335,40,5,9,168.45,18.68,1703,1
7322f1c5-5925-4604-99de-79f845f6eda5,14.42,41.17,91.46,307.43,85.98,390,26.14,121.0,71.99,72.71,5.71,2713,30,82,9,273.49,42.43,4996,1
3374dbe3-dd7d-451e-9986-d3e2915c197f,80.5,18.45,84.04,61.46,60.21,113,313.01,197.53,43.47,61.14,1.24,2993,16,77,1,604.39,36.72,2440,0
9938df34-90a9-4bb5-a188-c5df54404482,83.89,12.33,89.76,13.51,28.82,439,598.14,255.78,29.99,112.65,1.73,5813,12,30,4,468.98,98.67,1232,0
70ec49cb-d426-4a07-9d94-72db5a513326,60.85,92.22,91.57,378.26,37.36,551,593.53,182.36,23.78,214.41,8.82,4648,39,34,0,122.2,97.43,3973,1
61a23544-7de0-4c0d-bb8a-e6fd93894720,61.69,98.5,51.37,824.03,35.73,300,282.32,483.91,93.8,199.48,4.24,9785,14,1,0,202.33,89.25,2218,0
ad32d177-bd57-4f1c-a607-dcd2f853a8da,97.0,88.9,95.25,87.67,50.61,447,507.59,493.66,96.56,214.83,8.95,129,32,22,0,693.7,52.18,4719,1
c67e9178-633f-4178-b82d-7e8bd6cd5996,22.55,18.41,11.33,283.67,68.4,535,415.15,200.45,55.58,167.16,2.9,11059,1,40,3,285.64,46.68,4138,0
8e28abe5-ba1b-4a96-9c58-3235ca3a70dd,44.49,14.02,57.43,742.34,56.37,350,36.31,290.25,68.73,239.8,3.83,3522,24,29,8,116.33,68.75,2055,0
e0e5d971-00b8-4f6a-87f2-abb5261b014a,36.93,43.88,10.86,20.65,30.46,562,130.41,162.1,8.99,153.51,0.82,3552,17,13,1,315.64,73.1,3871,0
7f09d01c-aa95-4a5b-b73c-131e8c27b108,95.02,65.33,23.56,118.62,50.78,180,207.64,385.0,13.91,14.06,8.95,10202,5,62,0,280.44,33.93,4359,0
1dae463d-b261-4649-b54c-27d5ee502255,99.58,49.03,45.19,391.73,27.27,399,593.28,136.67,29.54,71.28,4.48,6289,34,63,6,327.06,83.76,2166,1
c9c51c66-8b27-4ae0-882c-01f19f949b8c,57.73,81.01,55.88,505.1,39.42,428,528.44,287.98,79.49,174.27,5.61,1913,36,83,3,140.65,6.79,2440,0
90f170b6-54f0-46fd-95a1-a6df317373ed,86.77,65.2,99.08,242.22,51.52,531,132.18,495.07,11.28,97.2,4.53,4707,40,78,6,388.21,4.92,4855,1
8889c025-4108-4007-8490-d2e625a680b9,51.15,32.9,25.85,435.05,51.16,181,380.52,432.25,15.1,89.13,3.0,259,6,19,6,283.88,99.61,3751,0
125d7141-45a3-47e1-a875-41b61634b614,10.71,49.08,53.66,548.27,87.84,233,113.66,53.4,6.09,189.08,3.11,8756,23,41,3,658.0,39.7,3710,0
6e9f8233-db5e-4be1-bf84-2f3c4437e80c,18.19,49.01,66.26,265.62,50.89,262,71.23,330.25,1.93,231.56,1.72,11033,39,66,9,144.28,68.98,2211,0
477feb7c-bf40-4725-8192-8a7801e2a5cb,19.02,45.69,82.03,132.59,64.31,564,119.47,353.5,35.87,157.71,2.87,9170,21,96,0,545.77,32.64,2499,0
71d1b595-0a85-46a2-a3a6-876a970bc6f9,98.97,19.72,42.61,840.58,92.54,129,528.12,494.22,31.92,88.64,7.32,1035,19,90,6,137.95,10.21,4780,1
3e6be5b4-94e5-49a9-8e9b-87fd0c37afc4,39.65,45.39,68.23,617.24,80.23,262,229.89,127.17,2.66,72.89,8.48,1248,30,32,2,101.12,97.25,4728,0
a9d40908-c435-4b4a-b97f-404f94fea2fb,79.04,14.77,45.43,413.3,92.62,585,330.9,424.85,54.25,218.06,7.99,9105,14,7,2,215.32,21.06,4469,0
0dc7556d-2db6-4c7b-9d11-25e319ad65e4,13.9,58.43,38.38,592.65,94.4,315,510.36,371.01,51.65,190.2,3.38,7419,19,43,2,278.96,27.22,4807,0
52f28ef0-6eeb-4535-969c-3d345fe0a734,60.31,37.75,48.24,242.28,27.18,90,180.0,176.37,47.09,186.32,9.07,5905,0,45,8,424.03,63.0,2608,0
4e4ee65b-4c60-4a6c-9c04-b730e1d78e12,54.24,98.4,65.58,513.45,54.03,81,358.45,180.05,19.68,170.44,8.63,11585,1,6,2,399.7,73.06,1808,0
6b066a36-25b3-41c0-85a1-9d4c77c7d0ff,38.09,12.92,31.52,580.57,61.0,557,415.96,368.95,73.65,173.07,9.8,4205,39,84,6,376.33,76.27,960,0
b552f916-db9e-4796-adfc-487aea9f418f,26.11,60.34,35.1,745.55,32.29,252,223.13,326.96,84.84,164.51,4.99,10351,28,77,9,509.33,88.56,1554,0
6da79e7c-edc9-4f5c-90ef-380f83e20619,59.68,58.81,45.97,413.45,43.84,379,132.57,236.07,90.19,173.26,7.7,2990,26,79,1,444.5,5.59,1995,0
29976464-8a2d-4369-bb57-8ee25468deea,20.29,28.71,79.72,609.51,26.26,286,217.77,298.92,33.23,182.58,7.05,1123,16,64,1,585.44,11.34,3908,0
c72e2942-53d5-4c7e-a511-509ea6a0facd,51.8,45.46,19.98,434.48,56.88,352,221.5,413.66,78.1,97.41,0.94,5924,5,94,1,491.39,94.6,4161,0
29a16c41-ac63-46ef-95ea-430ea08386c4,50.69,30.61,30.4,452.6,25.55,538,359.0,489.17,16.44,96.03,0.37,9583,31,43,6,560.31,36.14,1583,0
c3d0c931-c319-470c-a01f-286552dfeb20,14.71,84.95,27.4,648.17,82.38,456,340.18,455.9,94.11,200.51,6.82,1795,29,26,1,306.98,39.72,4328,1
eeff2d50-4ad2-46c3-b642-b3890fd2a466,97.43,96.23,80.56,700.1,89.33,88,157.24,469.2,56.08,247.49,2.33,2916,29,46,5,220.6,53.68,3254,1
2a505e1f-8248-4b59-9f16-a59683df0cfc,77.23,55.38,94.69,565.58,42.66,50,542.98,180.11,41.34,117.42,7.66,10134,5,8,2,185.42,4.11,1458,0
2c196ed9-2d51-4106-904c-630d1fef9b21,36.53,82.72,81.69,232.57,73.34,521,527.13,435.46,86.64,48.33,2.64,11710,4,32,7,481.45,75.03,4805,0
ad0b32ef-44bf-4c42-a1a3-291fd617fc02,92.52,55.29,96.23,563.53,75.69,291,522.42,408.07,9.85,185.85,4.86,11403,26,6,3,634.43,12.2,1262,1
fa7d5dc1-e158-43dd-aca3-87b66b5daac8,62.01,95.42,60.92,266.12,85.06,384,334.67,183.28,88.18,108.26,4.13,8297,2,39,2,381.98,51.93,3660,0
94032858-2b4a-447f-ab23-6c38b615a676,60.66,18.81,83.34,294.8,40.37,511,467.56,391.54,20.16,9.42,3.98,2877,29,72,4,297.57,75.34,2691,0
79a90dd4-c0b1-449d-833c-4864e8316068,77.72,35.34,64.53,216.59,67.18,128,325.67,204.19,64.5,239.49,7.55,5518,2,91,10,348.92,38.82,1894,0
603d5065-760b-44b0-9ee5-6b143c3362b7,10.76,83.08,19.81,122.23,56.85,392,455.5,373.16,7.12,89.34,8.5,8305,10,13,7,318.09,5.47,2870,0
42342674-d0de-432d-a0be-c0bc637452ee,62.59,44.24,78.88,921.75,90.33,232,293.69,128.52,43.87,219.55,1.32,7836,16,96,0,107.05,98.93,2111,0
6f93d3b9-23cc-4354-b1da-a31c0e5bfe0c,5.3,12.83,15.41,246.68,93.07,409,175.9,416.84,67.62,179.34,1.39,3404,21,32,6,449.9,84.12,4714,1
fff27253-5ebb-45cc-a310-cc0e7fb43aaa,62.99,75.59,56.84,69.18,73.24,304,130.23,113.81,64.5,141.58,0.37,6028,25,73,6,290.87,66.3,3284,0
4d908865-c8b2-41f4-9418-9ed481f94e73,93.97,78.54,67.96,784.38,26.31,230,508.37,208.86,86.52,152.51,7.65,3863,21,64,2,643.13,31.12,4461,0
ef7d00da-2298-484f-ac91-75e04c1cca69,64.84,98.3,52.32,522.88,64.09,215,481.25,206.29,67.49,35.72,1.93,5634,28,70,3,597.08,71.68,2894,0
094a0476-ca18-40cb-b514-c984281515cb,80.75,47.7,92.46,565.34,53.08,600,10.56,399.54,91.1,65.21,0.5,537,11,20,1,334.95,96.68,4592,0
e83366f1-7e2d-444c-bee3-8617c5435b8f,9.85,38.23,91.23,817.44,75.98,81,144.0,201.83,83.46,184.49,3.0,3745,17,21,5,234.43,52.5,1098,0
3f090771-149c-4df9-afcd-b1319ceedd26,95.11,95.84,82.44,657.88,43.29,224,364.74,440.87,64.04,127.03,1.62,980,30,81,3,223.32,8.18,2431,0
72e6ba05-8794-4d9f-91f1-b5689c5149fd,11.01,42.97,55.61,801.21,46.32,72,79.33,91.36,85.64,246.89,0.54,9651,16,2,10,162.86,82.15,1317,0
cbf17178-efee-4e8d-8bf1-e03df8970d93,18.09,64.23,96.07,769.6,88.93,97,154.81,40.78,70.76,20.79,1.81,4244,10,59,4,686.76,2.68,2345,0
65b830eb-62d3-4274-b553-61b19368e3c9,47.98,64.1,30.19,47.96,94.69,245,145.35,158.21,18.48,121.42,3.17,10003,36,91,10,433.95,30.14,1338,1
0f829391-78e8-4ed5-ad78-ebebfc6fd405,43.67,36.03,57.08,780.1,62.19,106,516.89,369.37,41.52,165.6,8.23,935,10,66,7,250.32,61.48,2670,0
9aadff3c-08f1-4225-9e5a-5a1be24daf6e,63.63,99.49,54.51,828.21,62.13,184,191.15,144.23,97.18,120.52,7.58,11909,9,12,3,281.44,76.31,4825,0
7dee71ac-a358-4726-abd9-7677fe73855b,46.92,81.15,33.03,843.05,43.91,98,60.68,22.23,42.32,6.23,0.82,8997,23,19,2,486.9,33.63,1721,0
4e722bca-8a16-4bf3-a92f-ff66600b65ff,17.5,36.21,38.1,554.81,26.31,501,485.29,482.74,95.76,170.09,8.19,5864,32,95,8,201.87,73.38,4315,1
d18a8386-ad3b-4439-b7b8-47186a16b8b8,61.3,18.82,38.95,801.75,30.4,136,45.47,118.08,64.09,113.82,1.68,3921,33,35,3,596.25,73.28,3592,0
eb3c55a0-e378-4972-a7af-63b1b513abbf,76.49,36.83,53.5,370.72,56.03,589,83.68,354.32,66.1,142.98,2.46,4263,6,68,5,175.1,79.63,1879,0
9e8e0fcf-8eef-4745-97ea-b014f49249c5,45.98,34.6,32.81,577.7,87.87,68,129.56,189.11,92.45,166.72,5.56,1384,19,90,2,232.86,15.37,4948,0
181f71d9-8620-4b2d-9c2b-9131ac5423d8,95.89,88.56,74.08,462.28,81.42,275,403.53,96.69,38.75,15.76,9.06,6241,26,30,5,346.06,39.82,2061,1
5b813891-548e-41cc-96cd-5f3546c2e3c5,41.76,52.09,49.17,473.99,51.76,322,476.24,333.16,47.36,30.59,7.07,11030,11,14,5,597.21,34.63,2121,0
fcc3388e-f921-4fa5-aef4-80f748d1c41c,39.71,90.77,29.27,385.07,53.38,297,182.77,56.57,89.69,213.99,3.02,11850,40,92,0,674.61,81.29,2618,0
2a1f6cdd-c514-42bc-b6e8-ab46466bd5de,82.79,50.47,58.78,936.53,47.59,523,408.74,125.87,59.0,132.39,7.07,11290,16,49,4,237.43,62.27,4608,0
8097ca2f-7250-4524-9ec3-906a356945fe,54.12,45.53,30.56,435.85,77.92,247,412.12,38.02,35.16,173.69,0.42,10285,6,45,3,651.24,84.2,4706,0
6147b304-259f-4ccd-98cb-435b118dcf31,41.92,85.99,12.05,39.32,38.48,347,344.18,378.35,45.88,195.48,9.37,6873,28,62,4,116.54,59.82,1712,0
836057d5-9494-4ff9-84e4-5c0ef17ab556,85.26,27.67,12.01,731.96,70.42,276,479.26,415.03,3.05,148.93,8.99,10858,29,87,0,694.07,22.87,4625,0
4ad33b12-efaa-4d6b-8569-48a3a8766423,73.42,19.48,24.96,117.04,89.3,457,462.52,12.62,25.58,15.74,2.08,5860,13,18,1,447.34,30.07,4017,0
8f6b274f-ea35-4e0f-8a6b-5354fe577d23,95.29,55.67,14.32,536.94,62.73,409,65.78,278.99,9.72,82.7,9.55,5823,40,91,0,418.1,79.2,3557,0
ac1b345d-ca83-4d2e-abbe-87bfcd60af0d,91.92,42.69,55.1,697.48,55.22,439,276.62,281.91,78.67,35.67,1.97,9725,21,47,10,664.54,20.85,1844,1
67849326-a2a6-4a96-b1a9-f76902873d86,74.58,60.23,88.42,620.39,48.64,149,95.32,196.3,24.15,243.0,6.21,9247,0,50,1,520.81,89.91,2491,0
53f839e5-cc73-4072-a4c7-25a9ae359661,25.47,21.88,85.85,384.63,87.23,526,384.91,276.43,27.33,200.4,0.98,9448,17,89,0,132.52,35.56,2935,0
ea7e94f3-870f-444e-ae9d-f4ab98cf1192,89.36,44.79,25.24,831.52,49.77,127,27.1,268.16,63.56,91.75,8.48,5992,10,78,10,380.67,78.56,2516,0
c4598497-4f4e-4c36-a258-e0cc3b1ba19a,95.4,43.67,65.45,73.7,87.78,547,531.17,55.83,99.3,101.62,6.11,7510,32,46,9,219.15,98.67,3829,1
5d866dea-159c-45be-b8f8-a3e4c721da06,29.03,83.1,56.25,95.24,76.93,182,524.19,214.0,73.01,70.06,8.01,9550,34,0,10,372.7,26.52,4540,0
09ac1e12-7a7f-4559-9dd6-e6ddc6846441,20.91,75.41,37.2,534.13,80.94,393,473.11,131.26,88.51,40.49,9.27,1289,20,80,3,355.22,61.78,1908,0
e7f336a8-4c61-4f69-a924-90607e13d775,55.7,86.8,31.34,397.66,34.59,398,323.0,479.48,31.96,163.36,2.38,620,11,34,3,644.56,98.15,2607,0
434bc3d2-1c94-4e7d-9f0b-39a8e4d5d9c7,41.86,84.11,34.72,23.7,52.17,176,449.65,268.1,31.51,112.38,1.74,5741,37,80,2,418.75,94.18,2593,0
bd5f1ed0-5ef0-42d0-9bd8-7c141a7512e2,6.97,92.51,28.38,13.46,73.67,537,504.76,457.31,39.57,247.45,8.12,10614,11,10,0,383.22,76.6,2604,0
fc9c3ecc-3adc-41ac-b0bb-5b109475ab17,59.64,32.66,97.31,940.88,44.66,478,299.38,133.62,69.62,154.43,7.58,6586,8,36,9,181.17,7.23,4313,1
e4944011-4854-4b2c-898f-df87b3e24bc9,61.32,42.69,66.64,89.57,63.05,360,52.28,499.05,54.33,182.04,7.14,11070,27,53,3,353.71,69.01,3072,0
dfa7dad6-a71f-4528-b880-7f6c63d21594,56.31,28.76,25.32,212.02,89.18,322,514.03,307.96,65.84,50.28,7.04,2033,28,14,5,468.46,1.65,1501,0
